"";"X.."
"1";"1156- DIREITO DO CONSUMIDOR#,7771- Contratos de Consumo#,6233- Planos de Saúde"
"2";"4839- Sistema Financeiro da Habitação#,8866- Litisconsórcio#,899- DIREITO CIVIL#,8828- Jurisdição e Competência"
"3";"14- DIREITO TRIBUTÁRIO#,6017- Dívida Ativa (Execução Fiscal)#,5916- Impostos#,5952- IPTU/ Imposto Predial e Territorial Urbano"
"4";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6101- Auxílio por Incapacidade Temporária"
"5";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8842- Partes e Procuradores#,8874- Sucumbência#,10656- Honorários Advocatícios em Execução Contra a Fazenda Pública"
"6";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,11884- Fornecimento de Medicamentos"
"7";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6173- Pedidos Genéricos Relativos aos Benefícios em Espécie"
"8";"14- DIREITO TRIBUTÁRIO#,6031- Contribuições#,6033- Contribuições Sociais#,6040- Funrural"
"9";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8829- Competência#,9148- Liquidação / Cumprimento / Execução#,9418- Concurso de Credores"
"10";"14- DIREITO TRIBUTÁRIO#,5978- Obrigação Tributária#,5979- Responsabilidade tributária#,5980- Responsabilidade Tributária do Sócio-Gerente / Diretor / Representante#,899- DIREITO CIVIL#,9616- Empresas#,5724- Sociedade#,4935- Dissolução"
"11";"287- DIREITO PENAL#,10620- Parte Geral#,10621- Aplicação da Pena#,10628- Substituição da Pena#,3603- Crimes Previstos na Legislação Extravagante#,3607- Crimes de Tráfico Ilícito e Uso Indevido de Drogas#,3633- Crimes do Sistema Nacional de Armas"
"12";"287- DIREITO PENAL#,10621- Aplicação da Pena"
"13";"1209- DIREITO PROCESSUAL PENAL#,7942- Execução Penal e de Medidas Alternativas#,8928-  Prazo"
"14";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10064- Saúde#,11884- Fornecimento de Medicamentos"
"15";"8842- Partes e Procuradores#,9493- Capacidade Processual#,9148- Liquidação / Cumprimento / Execução#,8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO"
"16";"899- DIREITO CIVIL#,10431- Responsabilidade Civil#,10439- Indenização por Dano Material#,5632- Prescrição e Decadência"
"17";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9163- Penhora / Depósito/ Avaliação "
"18";"10673- Requisição de Pequeno Valor - RPV#,7699- Juros de Mora - Legais / Contratuais#,8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO"
"19";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6106- Pecúlios (Art. 81/5)"
